DateKey,OrderDate,RequiredDate,ShippedDate
129,1996-09-02 00:00:00,1996-09-30 00:00:00,1996-09-10 00:00:00
130,1996-09-03 00:00:00,1996-10-01 00:00:00,1996-09-11 00:00:00
131,1996-09-03 00:00:00,1996-10-01 00:00:00,1996-09-11 00:00:00
132,1996-09-03 00:00:00,1996-10-01 00:00:00,1996-09-11 00:00:00
133,1996-09-04 00:00:00,1996-10-16 00:00:00,1996-09-10 00:00:00
134,1996-09-04 00:00:00,1996-10-16 00:00:00,1996-09-10 00:00:00
135,1996-09-05 00:00:00,1996-10-03 00:00:00,1996-09-11 00:00:00
136,1996-09-05 00:00:00,1996-10-03 00:00:00,1996-09-11 00:00:00
137,1996-09-05 00:00:00,1996-10-03 00:00:00,1996-09-11 00:00:00
138,1996-09-05 00:00:00,1996-10-03 00:00:00,1996-09-11 00:00:00
139,1996-09-06 00:00:00,1996-10-04 00:00:00,1996-09-13 00:00:00
140,1996-09-06 00:00:00,1996-10-04 00:00:00,1996-09-13 00:00:00
141,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-18 00:00:00
142,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-18 00:00:00
143,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-17 00:00:00
144,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-17 00:00:00
145,1996-09-10 00:00:00,1996-10-08 00:00:00,1996-10-09 00:00:00
146,1996-09-10 00:00:00,1996-10-08 00:00:00,1996-10-09 00:00:00
147,1996-09-10 00:00:00,1996-10-08 00:00:00,1996-10-09 00:00:00
148,1996-09-11 00:00:00,1996-10-09 00:00:00,1996-09-18 00:00:00
149,1996-09-11 00:00:00,1996-10-09 00:00:00,1996-09-18 00:00:00
150,1996-09-11 00:00:00,1996-10-09 00:00:00,1996-09-18 00:00:00
151,1996-09-12 00:00:00,1996-10-10 00:00:00,1996-09-17 00:00:00
152,1996-09-12 00:00:00,1996-10-10 00:00:00,1996-09-17 00:00:00
153,1996-09-12 00:00:00,1996-10-10 00:00:00,1996-09-17 00:00:00
154,1996-09-13 00:00:00,1996-10-11 00:00:00,1996-10-09 00:00:00
155,1996-09-13 00:00:00,1996-10-11 00:00:00,1996-10-09 00:00:00
156,1996-09-13 00:00:00,1996-10-11 00:00:00,1996-10-09 00:00:00
157,1996-09-16 00:00:00,1996-10-14 00:00:00,1996-09-23 00:00:00
158,1996-09-16 00:00:00,1996-10-14 00:00:00,1996-09-23 00:00:00
159,1996-09-16 00:00:00,1996-10-14 00:00:00,1996-09-23 00:00:00
160,1996-09-17 00:00:00,1996-10-15 00:00:00,1996-09-25 00:00:00
161,1996-09-17 00:00:00,1996-10-15 00:00:00,1996-09-25 00:00:00
162,1996-09-18 00:00:00,1996-10-16 00:00:00,1996-09-24 00:00:00
163,1996-09-18 00:00:00,1996-10-16 00:00:00,1996-09-24 00:00:00
164,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00
165,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00
166,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00
167,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00
168,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00
169,1996-09-20 00:00:00,1996-10-18 00:00:00,1996-09-27 00:00:00
170,1996-09-20 00:00:00,1996-10-18 00:00:00,1996-09-27 00:00:00
171,1996-09-20 00:00:00,1996-10-04 00:00:00,1996-09-26 00:00:00
172,1996-09-20 00:00:00,1996-10-04 00:00:00,1996-09-26 00:00:00
173,1996-09-23 00:00:00,1996-10-21 00:00:00,1996-10-03 00:00:00
174,1996-09-23 00:00:00,1996-10-21 00:00:00,1996-10-03 00:00:00
175,1996-09-23 00:00:00,1996-10-21 00:00:00,1996-10-03 00:00:00
176,1996-09-23 00:00:00,1996-10-21 00:00:00,1996-10-03 00:00:00
177,1996-09-24 00:00:00,1996-10-22 00:00:00,1996-10-04 00:00:00
178,1996-09-25 00:00:00,1996-10-23 00:00:00,1996-10-04 00:00:00
179,1996-09-25 00:00:00,1996-10-23 00:00:00,1996-10-04 00:00:00
180,1996-09-25 00:00:00,1996-10-23 00:00:00,1996-10-04 00:00:00
181,1996-09-26 00:00:00,1996-10-24 00:00:00,1996-10-03 00:00:00
182,1996-09-26 00:00:00,1996-10-24 00:00:00,1996-10-03 00:00:00
183,1996-09-27 00:00:00,1996-10-25 00:00:00,1996-10-08 00:00:00
184,1996-09-27 00:00:00,1996-10-25 00:00:00,1996-10-08 00:00:00
185,1996-09-30 00:00:00,1996-10-28 00:00:00,1996-10-10 00:00:00
186,1996-10-01 00:00:00,1996-10-29 00:00:00,1996-10-04 00:00:00
187,1996-10-01 00:00:00,1996-10-29 00:00:00,1996-10-04 00:00:00
188,1996-10-02 00:00:00,1996-10-30 00:00:00,1996-10-11 00:00:00
189,1996-10-02 00:00:00,1996-10-30 00:00:00,1996-10-11 00:00:00
190,1996-10-02 00:00:00,1996-10-30 00:00:00,1996-10-11 00:00:00
191,1996-10-03 00:00:00,1996-10-17 00:00:00,1996-10-18 00:00:00
192,1996-10-03 00:00:00,1996-10-31 00:00:00,1996-10-11 00:00:00
193,1996-10-04 00:00:00,1996-11-01 00:00:00,1996-10-23 00:00:00
194,1996-10-07 00:00:00,1996-11-04 00:00:00,1996-10-14 00:00:00
195,1996-10-07 00:00:00,1996-11-04 00:00:00,1996-10-14 00:00:00
196,1996-10-07 00:00:00,1996-11-04 00:00:00,1996-10-14 00:00:00
197,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00
198,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00
199,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00
200,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00
201,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00
202,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00
203,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00
204,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00
205,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00
206,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00
207,1996-10-10 00:00:00,1996-11-07 00:00:00,1996-10-14 00:00:00
208,1996-10-10 00:00:00,1996-11-07 00:00:00,1996-10-14 00:00:00
209,1996-10-10 00:00:00,1996-11-07 00:00:00,1996-10-14 00:00:00
210,1996-10-11 00:00:00,1996-11-08 00:00:00,1996-10-14 00:00:00
211,1996-10-11 00:00:00,1996-11-08 00:00:00,1996-10-14 00:00:00
212,1996-10-11 00:00:00,1996-11-08 00:00:00,1996-10-14 00:00:00
213,1996-10-11 00:00:00,1996-11-08 00:00:00,1996-10-14 00:00:00
214,1996-10-14 00:00:00,1996-11-11 00:00:00,1996-10-17 00:00:00
215,1996-10-14 00:00:00,1996-11-11 00:00:00,1996-10-17 00:00:00
216,1996-10-14 00:00:00,1996-11-11 00:00:00,1996-10-17 00:00:00
217,1996-10-15 00:00:00,1996-11-26 00:00:00,1996-10-23 00:00:00
218,1996-10-15 00:00:00,1996-11-26 00:00:00,1996-10-23 00:00:00
219,1996-10-15 00:00:00,1996-11-26 00:00:00,1996-10-23 00:00:00
220,1996-10-15 00:00:00,1996-11-26 00:00:00,1996-10-23 00:00:00
221,1996-10-16 00:00:00,1996-11-13 00:00:00,1996-10-28 00:00:00
222,1996-10-16 00:00:00,1996-11-13 00:00:00,1996-10-28 00:00:00
223,1996-10-16 00:00:00,1996-11-27 00:00:00,1996-10-21 00:00:00
224,1996-10-17 00:00:00,1996-11-28 00:00:00,1996-10-21 00:00:00
225,1996-10-17 00:00:00,1996-11-28 00:00:00,1996-10-21 00:00:00
226,1996-10-17 00:00:00,1996-11-28 00:00:00,1996-10-21 00:00:00
227,1996-10-18 00:00:00,1996-11-15 00:00:00,1996-10-25 00:00:00
228,1996-10-18 00:00:00,1996-11-15 00:00:00,1996-10-25 00:00:00
229,1996-10-18 00:00:00,1996-11-15 00:00:00,1996-10-25 00:00:00
230,1996-10-21 00:00:00,1996-11-18 00:00:00,1996-10-28 00:00:00
231,1996-10-21 00:00:00,1996-11-18 00:00:00,1996-10-28 00:00:00
232,1996-10-22 00:00:00,1996-11-19 00:00:00,1996-10-24 00:00:00
233,1996-10-22 00:00:00,1996-11-19 00:00:00,1996-10-24 00:00:00
234,1996-10-22 00:00:00,1996-11-19 00:00:00,1996-10-24 00:00:00
235,1996-10-22 00:00:00,1996-11-19 00:00:00,1996-10-24 00:00:00
236,1996-10-23 00:00:00,1996-11-20 00:00:00,1996-10-25 00:00:00
237,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00
238,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00
239,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00
240,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00
241,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00
242,1996-10-25 00:00:00,1996-11-22 00:00:00,1996-10-29 00:00:00
243,1996-10-25 00:00:00,1996-11-22 00:00:00,1996-10-29 00:00:00
244,1996-10-28 00:00:00,1996-11-25 00:00:00,1996-11-04 00:00:00
245,1996-10-28 00:00:00,1996-11-25 00:00:00,1996-11-04 00:00:00
246,1996-10-28 00:00:00,1996-11-25 00:00:00,1996-11-04 00:00:00
247,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-08 00:00:00
248,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-08 00:00:00
249,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-08 00:00:00
250,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-05 00:00:00
251,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-05 00:00:00
252,1996-10-30 00:00:00,1996-11-13 00:00:00,1996-11-04 00:00:00
253,1996-10-30 00:00:00,1996-11-13 00:00:00,1996-11-04 00:00:00
254,1996-10-30 00:00:00,1996-11-13 00:00:00,1996-11-04 00:00:00
255,1996-10-30 00:00:00,1996-11-13 00:00:00,1996-11-04 00:00:00
256,1996-10-31 00:00:00,1996-11-28 00:00:00,1996-11-06 00:00:00
257,1996-10-31 00:00:00,1996-11-28 00:00:00,1996-11-06 00:00:00
258,1996-10-31 00:00:00,1996-11-28 00:00:00,1996-11-06 00:00:00
259,1996-11-01 00:00:00,1996-11-29 00:00:00,1996-11-05 00:00:00
260,1996-11-01 00:00:00,1996-11-29 00:00:00,1996-11-05 00:00:00
261,1996-11-04 00:00:00,1996-12-02 00:00:00,1996-11-11 00:00:00
262,1996-11-04 00:00:00,1996-12-02 00:00:00,1996-11-11 00:00:00
263,1996-11-04 00:00:00,1996-12-02 00:00:00,1996-11-11 00:00:00
264,1996-11-05 00:00:00,1996-12-17 00:00:00,1996-11-08 00:00:00
265,1996-11-05 00:00:00,1996-12-17 00:00:00,1996-11-08 00:00:00
266,1996-11-06 00:00:00,1996-12-04 00:00:00,1996-11-08 00:00:00
267,1996-11-06 00:00:00,1996-12-04 00:00:00,1996-11-08 00:00:00
268,1996-11-06 00:00:00,1996-12-04 00:00:00,1996-11-08 00:00:00
269,1996-11-06 00:00:00,1996-12-04 00:00:00,1996-11-08 00:00:00
270,1996-11-07 00:00:00,1996-12-05 00:00:00,1996-11-15 00:00:00
271,1996-11-07 00:00:00,1996-12-05 00:00:00,1996-11-15 00:00:00
272,1996-11-08 00:00:00,1996-12-06 00:00:00,1996-11-15 00:00:00
273,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-12-03 00:00:00
274,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-12-03 00:00:00
275,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-11-20 00:00:00
276,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-11-20 00:00:00
277,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-11-20 00:00:00
278,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-11-20 00:00:00
279,1996-11-12 00:00:00,1996-11-26 00:00:00,1996-11-18 00:00:00
280,1996-11-12 00:00:00,1996-11-26 00:00:00,1996-11-18 00:00:00
281,1996-11-13 00:00:00,1996-12-11 00:00:00,1996-11-25 00:00:00
282,1996-11-13 00:00:00,1996-12-11 00:00:00,1996-11-25 00:00:00
283,1996-11-14 00:00:00,1996-12-12 00:00:00,1996-11-20 00:00:00
284,1996-11-14 00:00:00,1996-12-12 00:00:00,1996-11-20 00:00:00
285,1996-11-15 00:00:00,1996-12-13 00:00:00,1996-11-20 00:00:00
286,1996-11-15 00:00:00,1996-12-13 00:00:00,1996-11-20 00:00:00
287,1996-11-18 00:00:00,1996-12-16 00:00:00,1996-11-27 00:00:00
288,1996-11-18 00:00:00,1996-12-16 00:00:00,1996-11-27 00:00:00
289,1996-11-18 00:00:00,1996-12-16 00:00:00,1996-11-27 00:00:00
290,1996-11-19 00:00:00,1996-12-17 00:00:00,1996-12-02 00:00:00
291,1996-11-19 00:00:00,1996-12-17 00:00:00,1996-12-02 00:00:00
292,1996-11-19 00:00:00,1996-12-17 00:00:00,1996-12-02 00:00:00
293,1996-11-20 00:00:00,1996-12-18 00:00:00,1996-11-27 00:00:00
294,1996-11-20 00:00:00,1996-12-18 00:00:00,1996-11-27 00:00:00
295,1996-11-20 00:00:00,1996-12-18 00:00:00,1996-11-27 00:00:00
296,1996-11-21 00:00:00,1996-12-19 00:00:00,1996-11-26 00:00:00
297,1996-11-21 00:00:00,1996-12-19 00:00:00,1996-11-26 00:00:00
298,1996-11-21 00:00:00,1996-12-19 00:00:00,1996-11-26 00:00:00
299,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00
300,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00
301,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00
302,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00
303,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00
304,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-03 00:00:00
305,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-03 00:00:00
306,1996-11-25 00:00:00,1996-12-23 00:00:00,1996-11-28 00:00:00
307,1996-11-25 00:00:00,1996-12-23 00:00:00,1996-11-28 00:00:00
308,1996-11-25 00:00:00,1996-12-23 00:00:00,1996-11-28 00:00:00
309,1996-11-26 00:00:00,1996-12-24 00:00:00,1996-12-04 00:00:00
310,1996-11-26 00:00:00,1996-12-24 00:00:00,1996-12-04 00:00:00
311,1996-11-26 00:00:00,1996-12-24 00:00:00,1996-12-04 00:00:00
312,1996-11-26 00:00:00,1997-01-07 00:00:00,1996-12-04 00:00:00
313,1996-11-26 00:00:00,1997-01-07 00:00:00,1996-12-04 00:00:00
314,1996-11-27 00:00:00,1996-12-25 00:00:00,1996-12-02 00:00:00
315,1996-11-28 00:00:00,1997-01-09 00:00:00,1996-12-30 00:00:00
316,1996-11-28 00:00:00,1997-01-09 00:00:00,1996-12-30 00:00:00
317,1996-11-28 00:00:00,1996-12-26 00:00:00,1996-12-02 00:00:00
318,1996-11-28 00:00:00,1996-12-26 00:00:00,1996-12-02 00:00:00
319,1996-11-28 00:00:00,1996-12-26 00:00:00,1996-12-02 00:00:00
320,1996-11-28 00:00:00,1996-12-26 00:00:00,1996-12-02 00:00:00
321,1996-11-29 00:00:00,1996-12-27 00:00:00,1996-12-02 00:00:00
322,1996-11-29 00:00:00,1996-12-27 00:00:00,1996-12-02 00:00:00
323,1996-11-29 00:00:00,1996-12-27 00:00:00,1996-12-02 00:00:00
324,1996-11-29 00:00:00,1996-12-27 00:00:00,1996-12-02 00:00:00
325,1996-12-02 00:00:00,1996-12-30 00:00:00,1996-12-09 00:00:00
326,1996-12-02 00:00:00,1996-12-30 00:00:00,1996-12-09 00:00:00
327,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-27 00:00:00
328,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-27 00:00:00
329,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-27 00:00:00
330,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-24 00:00:00
331,1996-12-04 00:00:00,1997-01-01 00:00:00,1996-12-09 00:00:00
332,1996-12-04 00:00:00,1997-01-01 00:00:00,1996-12-09 00:00:00
333,1996-12-04 00:00:00,1997-01-01 00:00:00,1996-12-09 00:00:00
334,1996-12-04 00:00:00,1997-01-01 00:00:00,1996-12-09 00:00:00
335,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-11 00:00:00
336,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-11 00:00:00
337,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-09 00:00:00
338,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-09 00:00:00
339,1996-12-06 00:00:00,1997-01-03 00:00:00,1996-12-09 00:00:00
340,1996-12-06 00:00:00,1997-01-03 00:00:00,1996-12-09 00:00:00
